n,mu,delta,distribution,mean_vc_overlap,std_vc_overlap,avg_node_degree,avg_node_leaves
50,2,4,uniform1,20.00,0.00,4.79,0.00
50,2,4,poisson,23.00,0.00,4.74,0.00
50,2,4,uniform1,11.00,0.00,4.42,0.07
50,2,4,poisson,14.00,0.00,4.51,0.07
50,16,4,uniform1,25.82,0.65,4.86,0.00
50,16,4,poisson,21.47,0.50,4.76,0.01
50,16,4,uniform1,18.06,0.67,4.42,0.06
50,16,4,poisson,18.33,0.54,4.40,0.07
50,32,4,uniform1,26.45,0.66,4.80,0.00
50,32,4,poisson,26.28,0.66,4.83,0.00
50,32,4,uniform1,18.41,0.62,4.41,0.07
50,32,4,poisson,18.39,0.54,4.38,0.07
50,64,4,uniform1,26.04,0.65,4.85,0.00
50,64,4,poisson,27.14,0.44,4.84,0.00
50,64,4,uniform1,18.53,0.58,4.40,0.07
50,64,4,poisson,18.47,0.59,4.41,0.07
100,2,4,uniform1,50.00,0.00,4.61,0.04
100,2,4,poisson,48.00,0.00,4.78,0.03
100,2,4,uniform1,21.00,0.00,4.32,0.03
100,2,4,poisson,21.00,0.00,4.43,0.04
100,16,4,uniform1,43.08,0.52,4.67,0.03
100,16,4,poisson,48.25,0.58,4.69,0.03
100,16,4,uniform1,36.18,1.42,4.32,0.03
100,16,4,poisson,37.38,1.02,4.31,0.03
100,32,4,uniform1,42.38,0.67,4.65,0.03
100,32,4,poisson,43.72,0.67,4.66,0.04
100,32,4,uniform1,35.83,0.84,4.28,0.03
100,32,4,poisson,35.73,1.08,4.30,0.03
100,64,4,uniform1,44.31,0.72,4.65,0.04
100,64,4,poisson,43.98,0.56,4.64,0.04
100,64,4,uniform1,35.92,1.12,4.28,0.03
100,64,4,poisson,35.41,0.67,4.27,0.03
200,2,4,uniform1,88.00,0.00,4.63,0.04
200,2,4,poisson,86.00,0.00,4.57,0.06
200,2,4,uniform1,55.00,0.00,4.32,0.09
200,2,4,poisson,50.00,0.00,4.35,0.08
200,16,4,uniform1,91.47,0.89,4.54,0.06
200,16,4,poisson,95.10,0.81,4.57,0.06
200,16,4,uniform1,75.96,1.58,4.21,0.08
200,16,4,poisson,76.30,1.67,4.19,0.08
200,32,4,uniform1,93.39,0.62,4.58,0.06
200,32,4,poisson,93.94,0.71,4.57,0.05
200,32,4,uniform1,77.24,1.36,4.19,0.08
200,32,4,poisson,77.21,1.43,4.20,0.09
200,64,4,uniform1,88.63,0.64,4.57,0.06
200,64,4,poisson,92.45,0.80,4.56,0.06
200,64,4,uniform1,76.19,1.55,4.19,0.08
200,64,4,poisson,78.46,1.42,4.19,0.08
